DATE,NEWS,CATEGORY,INDICATOR,BANKING,CHINA,CORPORATE,EXCHANGE,GOLD,GOVERNMENT,INFRASTRUCTURE,METRICS,MUSK
1/5/2021,JP Morgan: BTC Could Hit $146K,Banking,1,1,,,,,,,,
1/11/2021,UK FCA Warns: Prepare to Lose All Your Money,Government,-1,,,,,,-1,,,
1/14/2021,Bitcoin Core Major Upgrade (0.21.0),Infrastructure,1,,,,,,,1,,
1/25/2021,UK FCA Warns: Bitcoin's Days Are Numbered,Government,-1,,,,,,-1,,,
1/28/2021,Dorsey Positive BTC Tweet,Corporate,1,,,1,,,,,,
1/28/2021,Musk Positive BTC Tweet,Musk Tweet,1,,,,,,,,,1
1/28/2021,Musk Positive DOGE Tweet,Musk Tweet,1,,,,,,,,,1
2/5/2021,Elon Musk Tweet: Dogecoin to the Moooonn,Musk Tweet,1,,,,,,,,,1
2/8/2021,Tesla Accepts BTC as Payment,Corporate,1,,,1,,,,,,
2/8/2021,SEC Filing: Tesla Bought $1.5 Billion in BTC,Government,1,,,,,,1,,,
2/10/2021,Mastercard: Bringing Crypto onto its Network,Corporate,1,,,1,,,,,,
3/1/2021,CBOE: BTC ETF Filing with SEC,Exchange,1,,,,1,,,,,
3/4/2021,PayPal: Crypto-Focused Business Unit,Corporate,1,,,1,,,,,,
3/11/2021,French Govt Sells Euro28 Million in Stolen Crypto,Government,1,,,,,,1,,,
3/17/2021,Morgan Stanley: Offers Access to BTC Funds,Banking,1,1,,,,,,,,
3/17/2021,Visa: Global Partnership with crypto.com,Corporate,1,,,1,,,,,,
3/24/2021,Musk Tweet: Buy Tesla with BTC,Musk Tweet,1,,,,,,,,,1
3/29/2021,Visa: Allow Settlements Using Crypto,Corporate,1,,,1,,,,,,
4/13/2021,Coinbase Going Public Nears,Exchange,1,,,,1,,,,,
4/14/2021,Gensler Confirmed as SEC Chair,Government,-1,,,,,,-1,,,
4/22/2021,Biden Tax Hike Proposal,Government,-1,,,,,,-1,,,
4/23/2021,Biden Capital Gains Tax Rumors,Government,-1,,,,,,-1,,,
5/2/2021,Bitcoin Core Minor Upgrade (0.21.1),Infrastructure,1,,,,,,,1,,
5/12/2021,Musk Tweet: Concerns About BTC Energy Use,Musk Tweet,-1,,,,,,,,,-1
5/13/2021,TradingView Launches Satoshi Index,Infrastructure,1,,,,,,,1,,
5/16/2021,Musk Tweet: Tesla May Sell Its Crypto,Musk Tweet,-1,,,,,,,,,-1
5/18/2021,China Bans Institutions From Crypto Business,China,-1,,-1,,,,,,,
5/20/2021,US Treasury Calls For Stricter Crypto Compliance,Government,-1,,,,,,-1,,,
5/21/2021,China Crackdown on Mining & Trading,China,-1,,-1,,,,,,,
5/24/2021,Musk Tweet: Met with NA Bitcoin Miners,Musk Tweet,1,,,,,,,,,1
6/3/2021,Musk Tweet: Bitcoin Breakup,Musk Tweet,-1,,,,,,,,,-1
6/6/2021,El Salvador Adopts BTC as Legal Tender,Government,1,,,,,,1,,,
6/13/2021,Tesla Reverses Stance on Crypto,Corporate,1,,,1,,,,,,
6/16/2021,SEC Delays Ruling on BTC ETF,Government,-1,,,,,,-1,,,
6/21/2021,China Intensifies Mining Crackdown,China,-1,,-1,,,,,,,
6/28/2021,UK FCA Bans Binance,Government,-1,,,,,,-1,,,
7/8/2021,SEC and BTC Regulation,Government,-1,,,,,,-1,,,
7/8/2021,Riot Blockchain Reports Strong Mining Results,Infrastructure,1,,,,,,,1,,
7/19/2021,Binance Scraps Stock Tokens,Exchange,-1,,,,-1,,,,,
7/25/2021,Amazon Plans to Accept BTC Payments,Corporate,1,,,1,,,,,,
7/30/2021,Germany Allows Inst. Funds to Hold 20% Crypto,Government,1,,,,,,1,,,
8/17/2021,Bloomberg: BTC Set to Replace Gold,Gold,1,,,,,1,,,,
8/23/2021,BTC F&G Flips from Extreme Fear to Extreme Greed,Metrics,1,,,,,,,,1,
8/24/2021,Coinbase Slammed for Bad Customer Service,Exchange,-1,,,,-1,,,,,
8/24/2021,MicroStrategy Buys $177 Million of BTC,Corporate,1,,,1,,,,,,
8/25/2021,BTC Network Records Record Amount of Crypto,Exchange,1,,,,1,,,,,
9/1/2021,El Salvador Legis. Approves BTC Trust,Government,1,,,,,,1,,,
9/6/2021,BTC Becomes Legal Tender in El Salvador,Government,1,,,,,,1,,,
9/8/2021,El Salvador BTC Rollout Stumbles,Government,-1,,,,,,-1,,,
9/9/2021,Standard Chartered Predicts BTC to $100K,Banking,1,1,,,,,,,,
9/14/2021,MicroStrategy Buys $250 Million of BTC,Corporate,1,,,1,,,,,,
9/16/2021,Laos Gov't Authorizes Mining and Trading,Government,1,,,,,,1,,,
9/16/2021,BTC Hits Golden Cross,Metrics,1,,,,,,,,1,
9/20/2021,Evergrande Crisis Hits,China,-1,,-1,,,,,,,
9/21/2021,BTC Options Expiry Concerns,Exchange,-1,,,,-1,,,,,
9/22/2021,Concerns About Fed Ending Stimulus,Government,-1,,,,,,-1,,,
9/24/2021,Twitter BTC Tipping Ability,Corporate,1,,,1,,,,,,
9/27/2021,China: All Crypto Business is Illegal,China,-1,,-1,,,,,,,
10/1/2021,Gensler Hints At Support for ETF,Government,1,,,,,,1,,,
10/3/2021,SEC Postpones ETF Decision,Government,-1,,,,,,-1,,,
10/5/2021,BOA: Crypto Too Large To Ignore,Banking,1,1,,,,,,,,
