DATE,GOLD
1/5/2021,0
3/17/2021,0
9/9/2021,0
10/5/2021,0
5/18/2021,0
5/21/2021,0
6/21/2021,0
9/20/2021,0
9/27/2021,0
1/28/2021,0
2/8/2021,0
2/10/2021,0
3/4/2021,0
3/17/2021,0
3/29/2021,0
6/13/2021,0
7/25/2021,0
8/24/2021,0
9/14/2021,0
9/24/2021,0
3/1/2021,0
4/13/2021,0
7/19/2021,0
8/24/2021,0
8/25/2021,0
9/21/2021,0
8/17/2021,1
1/11/2021,0
1/25/2021,0
2/8/2021,0
3/11/2021,0
4/14/2021,0
4/22/2021,0
4/23/2021,0
5/20/2021,0
6/6/2021,0
6/16/2021,0
6/28/2021,0
7/8/2021,0
7/30/2021,0
9/1/2021,0
9/6/2021,0
9/8/2021,0
9/16/2021,0
9/22/2021,0
10/1/2021,0
10/3/2021,0
1/14/2021,0
5/2/2021,0
5/13/2021,0
7/8/2021,0
8/23/2021,0
9/16/2021,0
1/28/2021,0
1/28/2021,0
2/5/2021,0
3/24/2021,0
5/12/2021,0
5/16/2021,0
5/24/2021,0
6/3/2021,0
