DATE,NEWS,CATEGORY,Institutional Adopt
1/11/2021,UK FCA Warns: Prepare to Lose All Your Money,Government,-1
1/25/2021,UK FCA Warns: Bitcoin's Days Are Numbered,Government,-1
4/22/2021,Biden Tax Hike Proposal,Government,-1
4/23/2021,Biden Capital Gains Tax Rumors,Government,-1
5/12/2021,Musk Tweet: Concerns About BTC Energy Use,Musk Tweet,-1
5/16/2021,Musk Tweet: Tesla May Sell Its Crypto,Musk Tweet,-1
5/18/2021,China Bans Institutions From Crypto Business,China,-1
5/20/2021,US Treasury Calls For Stricter Crypto Compliance,Government,-1
5/21/2021,China Crackdown on Mining & Trading,China,-1
6/3/2021,Musk Tweet: Bitcoin Breakup,Musk Tweet,-1
6/21/2021,China Intensifies Mining Crackdown,China,-1
6/28/2021,UK FCA Bans Binance,Government,-1
7/8/2021,SEC and BTC Regulation,Government,-1
9/27/2021,China: All Crypto Business is Illegal,China,-1
