DATE,NEWS,CATEGORY,Institutional Adopt
1/5/2021,JP Morgan: BTC Could Hit $146K,Banking,1
1/28/2021,Dorsey Positive BTC Tweet,Corporate,1
1/28/2021,Musk Positive BTC Tweet,Musk Tweet,1
2/8/2021,Tesla Accepts BTC as Payment,Corporate,1
2/8/2021,SEC Filing: Tesla Bought $1.5 Billion in BTC,Government,1
2/10/2021,Mastercard: Bringing Crypto onto its Network,Corporate,1
3/1/2021,CBOE: BTC ETF Filing with SEC,Exchange,1
3/4/2021,PayPal: Crypto-Focused Business Unit,Corporate,1
3/17/2021,Morgan Stanley: Offers Access to BTC Funds,Banking,1
3/17/2021,Visa: Global Partnership with crypto.com,Corporate,1
3/24/2021,Musk Tweet: Buy Tesla with BTC,Musk Tweet,1
3/29/2021,Visa: Allow Settlements Using Crypto,Corporate,1
4/14/2021,Gensler Confirmed as SEC Chair,Government,1
5/24/2021,Musk Tweet: Met with NA Bitcoin Miners,Musk Tweet,1
6/6/2021,El Salvador Adopts BTC as Legal Tender,Government,1
6/13/2021,Tesla Reverses Stance on Crypto,Corporate,1
7/25/2021,Amazon Plans to Accept BTC Payments,Corporate,1
7/30/2021,Germany Allows Inst. Funds to Hold 20% Crypto,Government,1
8/17/2021,Bloomberg: BTC Set to Replace Gold,Gold,1
8/24/2021,MicroStrategy Buys $177 Million of BTC,Corporate,1
9/9/2021,Standard Chartered Predicts BTC to $100K,Banking,1
9/14/2021,MicroStrategy Buys $250 Million of BTC,Corporate,1
9/24/2021,Twitter BTC Tipping Ability,Corporate,1
10/1/2021,Gensler Hints At Support for ETF,Government,1
10/5/2021,BOA: Crypto Too Large To Ignore,Banking,1
