DATE,NEWS,CATEGORY,Regulation
1/11/2021,UK FCA Warns: Prepare to Lose All Your Money,Government,-1
1/25/2021,UK FCA Warns: Bitcoin's Days Are Numbered,Government,-1
4/14/2021,Gensler Confirmed as SEC Chair,Government,1
4/22/2021,Biden Tax Hike Proposal,Government,-1
4/23/2021,Biden Capital Gains Tax Rumors,Government,-1
5/20/2021,US Treasury Calls For Stricter Crypto Compliance,Government,-1
6/16/2021,SEC Delays Ruling on BTC ETF,Government,-1
6/28/2021,UK FCA Bans Binance,Government,-1
7/8/2021,SEC and BTC Regulation,Government,-1
10/1/2021,Gensler Hints At Support for ETF,Government,1
10/3/2021,SEC Postpones ETF Decision,Government,-1
