DATE,ALL_BTC,ALL_DOGE
1/1/2021,"354,745","89,021"
1/2/2021,"372,358","50,951"
1/3/2021,"271,692","26,600"
1/4/2021,"226,955","16,680"
1/5/2021,"271,360","18,104"
1/6/2021,"362,347","13,064"
1/7/2021,"346,942","10,311"
1/8/2021,"282,358","13,596"
1/9/2021,"243,776","9,112"
1/10/2021,"344,711","8,200"
1/11/2021,"260,371","6,071"
1/12/2021,"266,569","6,999"
1/13/2021,"320,226","6,522"
1/14/2021,"270,545","6,142"
1/15/2021,"192,703","5,208"
1/16/2021,"178,868","4,786"
1/17/2021,"216,987","4,492"
1/18/2021,"366,168","5,460"
1/19/2021,"189,863","4,983"
1/20/2021,"262,050","5,739"
1/21/2021,"292,633","5,149"
1/22/2021,"172,100","4,756"
1/23/2021,"169,936","5,468"
1/24/2021,"213,162","4,602"
1/25/2021,"179,687","4,739"
1/26/2021,"215,644","7,776"
1/27/2021,"280,070","353,069"
1/28/2021,"426,401","1,070,471"
1/29/2021,"334,256","335,437"
1/30/2021,"206,760","259,593"
1/31/2021,"289,118","218,064"
2/1/2021,"251,068","125,406"
2/2/2021,"246,816","121,242"
2/3/2021,"220,156","347,942"
2/4/2021,"338,755","165,638"
2/5/2021,"299,014","190,972"
2/6/2021,"271,710","369,688"
2/7/2021,"603,214","303,340"
2/8/2021,"525,289","180,827"
2/9/2021,"423,717","205,850"
2/10/2021,"380,538","124,805"
2/11/2021,"368,207","110,128"
2/12/2021,"273,722","84,250"
2/13/2021,"263,905","83,142"
2/14/2021,"278,267","170,676"
2/15/2021,"378,778","91,214"
2/16/2021,"409,158","82,047"
2/17/2021,"331,515","92,024"
2/18/2021,"423,895","66,384"
2/19/2021,"1,141,914","82,104"
2/20/2021,"429,453","65,592"
2/21/2021,"357,133","61,387"
2/22/2021,"406,528","49,396"
2/23/2021,"352,204","59,685"
2/24/2021,"291,538","58,561"
2/25/2021,"265,325","52,278"
2/26/2021,"221,364","39,419"
2/27/2021,"246,545","39,404"
2/28/2021,"307,917","46,889"
3/1/2021,"272,226","47,051"
3/2/2021,"265,827","33,858"
3/3/2021,"240,056","43,176"
3/4/2021,"251,312","40,544"
3/5/2021,"223,496","47,996"
3/6/2021,"214,785","39,657"
3/7/2021,"244,783","73,230"
3/8/2021,"305,378","58,867"
3/9/2021,"295,203","38,366"
3/10/2021,"266,443","41,060"
3/11/2021,"327,446","37,106"
3/12/2021,"422,756","50,280"
3/13/2021,"282,816","67,271"
3/14/2021,"278,648","37,560"
3/15/2021,"267,571","37,217"
3/16/2021,"369,032","39,370"
3/17/2021,"335,327","37,037"
3/18/2021,"295,245","36,125"
3/19/2021,"234,355","36,729"
3/20/2021,"231,691","29,419"
3/21/2021,"267,380","28,593"
3/22/2021,"299,012","28,593"
3/23/2021,"524,524","32,506"
3/24/2021,"370,837","29,433"
3/25/2021,"306,863","25,147"
3/26/2021,"266,507","24,339"
3/27/2021,"224,391","23,663"
3/28/2021,"301,759","21,640"
3/29/2021,"330,611","23,209"
3/30/2021,"367,016","19,904"
3/31/2021,"336,535","94,049"
4/1/2021,"244,330","33,252"
4/2/2021,"200,209","20,172"
4/3/2021,"204,033","22,618"
4/4/2021,"255,365","27,374"
4/5/2021,"257,741","33,603"
4/6/2021,"263,529","37,423"
4/7/2021,"265,622","25,760"
4/8/2021,"233,162","26,248"
4/9/2021,"247,613","24,539"
4/10/2021,"236,443","69,812"
4/11/2021,"271,050","37,843"
4/12/2021,"360,716","115,800"
4/13/2021,"368,970","261,534"
4/14/2021,"318,728","170,461"
4/15/2021,"303,428","590,536"
4/16/2021,"212,196","263,601"
4/17/2021,"356,478","223,660"
4/18/2021,"276,211","298,599"
4/19/2021,"264,270","360,724"
4/20/2021,"237,796","174,924"
4/21/2021,"322,625","176,135"
4/22/2021,"386,707","168,524"
4/23/2021,"246,919","145,928"
4/24/2021,"240,621","98,069"
4/25/2021,"340,475","101,488"
4/26/2021,"327,756","137,584"
4/27/2021,"279,354","136,634"
4/28/2021,"253,631","109,193"
4/29/2021,"268,605","105,970"
4/30/2021,"260,336","140,797"
5/1/2021,"222,439","136,297"
5/2/2021,"251,654","195,749"
5/3/2021,"259,449","466,853"
5/4/2021,"291,791","492,419"
5/5/2021,"256,108","239,830"
5/6/2021,"289,636","301,426"
5/7/2021,"250,042","376,259"
5/8/2021,"238,963","571,274"
5/9/2021,"271,939","310,637"
5/10/2021,"259,489","287,302"
5/11/2021,"375,272","256,537"
5/12/2021,"937,428","307,128"
5/13/2021,"413,464","287,757"
5/14/2021,"304,985","197,348"
5/15/2021,"485,397","294,719"
5/16/2021,"591,822","210,430"
5/17/2021,"407,936","148,885"
5/18/2021,"928,363","182,666"
5/19/2021,"554,502","153,762"
5/20/2021,"544,177","132,556"
5/21/2021,"471,833","109,339"
5/22/2021,"449,712","121,352"
5/23/2021,"507,047","152,286"
5/24/2021,"399,874","199,367"
5/25/2021,"362,558","134,054"
5/26/2021,"324,281","92,191"
5/27/2021,"345,713","88,190"
5/28/2021,"303,422","77,892"
5/29/2021,"297,318","79,852"
5/30/2021,"317,122","78,491"
5/31/2021,"314,048","102,588"
6/1/2021,"285,586","161,420"
6/2/2021,"280,163","127,754"
6/3/2021,"499,796","113,073"
6/4/2021,"477,551","119,721"
6/5/2021,"539,393","95,247"
6/6/2021,"522,320","94,891"
6/7/2021,"524,615","80,733"
6/8/2021,"801,782","87,753"
6/9/2021,"624,131","69,734"
6/10/2021,"434,095","81,952"
6/11/2021,"368,017","72,081"
6/12/2021,"408,168","84,061"
6/13/2021,"448,847","85,413"
6/14/2021,"373,768","67,140"
6/15/2021,"344,123","82,331"
6/16/2021,"383,075","71,308"
6/17/2021,"335,955","64,520"
6/18/2021,"296,780","64,389"
6/19/2021,"290,111","72,756"
6/20/2021,"411,615","105,689"
6/21/2021,"438,505","119,512"
6/22/2021,"353,507","86,401"
6/23/2021,"315,782","73,898"
6/24/2021,"414,388","75,645"
6/25/2021,"315,670","65,123"
6/26/2021,"287,162","59,927"
6/27/2021,"338,091","69,291"
6/28/2021,"320,635","65,814"
6/29/2021,"310,943","63,185"
6/30/2021,"317,411","78,286"
7/1/2021,"289,371","77,121"
7/2/2021,"262,749","58,271"
7/3/2021,"238,400","57,909"
7/4/2021,"280,550","64,956"
7/5/2021,"284,094","74,799"
7/6/2021,"334,359","78,612"
7/7/2021,"319,215","100,635"
7/8/2021,"314,710","101,891"
7/9/2021,"254,344","86,856"
7/10/2021,"229,023","63,323"
7/11/2021,"320,518","80,055"
