,Date <2018,Start date
1INCH,0,2020-12
AAVE,0,2020-09
ADA,1,2018
ALPHA,0,2020-09
ANT,,
BAL,,
BAT,,
BCH,,
BNB,,
BNB_ETH,,
BSV,,
BTC,1,2018
BTG,,
BUSD,,
COMP,,
CRO,,
CRV,,
CVC,,
DAI,,
DASH,,
DCR,,
DGB,,
DGX,,
DOGE,1,2018
DOT,,
DRGN,,
ELF,,
ENG,,
EOS_ETH,,
ETC,,
ETH,1,2018
ETHOS,,
FTT,,
FUN,,
FXC,,
GAS,,
GNO,,
GNT,,
GUSD,,
HBTC,,
HEDG,,
HT,,
HUSD,,
KNC,,
LEND,,
LEO_ETH,,
LINK,,
LOOM,,
LSK,,
LTC,,
MAID,,
MANA,,
MCO,,
MKR,,
NEO,,
NXM,,
OMG,,
PAX,,
PAXG,,
PAY,,
POLY,,
POWR,,
PPT,,
QASH,,
REN,,
RENBTC,,
REP,,
SAI,,
SNT,,
SNX,,
SRM,,
SUSHI,,
SWRV,,
TRX_ETH,,
TUSD,,
UMA,,
UNI,,
USDC,,
USDK,,
USDT,,
USDT_ETH,,
USDT_OMNI,,
USDT_TRX,,
VTC,,
WBTC,,
WETH,,
WNXM,,
WTC,,
XAUT,,
XLM,,
XRP,,
XTZ,,
XVG,,
YFI,,
ZEC,,
ZRX,,
